IUCN_species,centroid_long,Latitude,abs_lat,region,clutch_size,Egg mass (g),incubation_d,body_mass,Beak_Length (culmen),HWI
Chrysococcyx xanthorhynchus,106.1647161,8.64,8.64,tropical,NA,2.43,NA,22.4,19.3,41
Ochthoeca nigrita,-71.21563106,8.64,8.64,tropical,NA,1.8,NA,11.9,13.3,18.8
Oriolus steerii,124.5552539,8.64,8.64,tropical,NA,5.1,NA,46.5,25.7,25
Zosterops everetti,124.5318848,8.65,8.65,tropical,NA,1.3,NA,10,13,19.8
Coeligena eos,-71.06004813,8.66,8.66,tropical,NA,NA,NA,6.5,37.2,61.7
Ploceus vitellinus,18.34590535,8.66,8.66,tropical,NA,2.14,NA,20,15.6,18.8
Cistothorus meridae,-71.14128863,8.67,8.67,tropical,NA,1.42,NA,9.7,15,11.7
Vireolanius eximius,-74.57062433,8.67,8.67,tropical,NA,2.71,NA,28.2,19.3,16.4
Goldmania violiceps,-78.17051102,8.68,8.68,tropical,NA,0.53,NA,4.1,21.7,65.8
Vidua larvaticola,14.88864797,8.68,8.68,tropical,NA,1.18,NA,13.1,9.7,23.1
Myioborus albifrons,-70.96651286,8.69,8.69,tropical,NA,2.56,NA,19.8,11.7,14.5
Pyrrhura rhodocephala,-71.06944236,8.7,8.7,tropical,NA,5.47,NA,80,20.6,38
Chaetura fumosa,-82.97560433,8.71,8.71,tropical,NA,1.88,NA,15.7,5.1,67.8
Vidua interjecta,9.060932792,8.72,8.72,tropical,NA,1.595,NA,20.6,11.7,24.6
Vidua togoensis,-4.315869534,8.73,8.73,tropical,NA,1.59,NA,15.6,11.3,22.6
Ploceus brachypterus,-3.069515015,8.75,8.75,tropical,NA,NA,NA,27.1,18,15.4
Oxypogon lindenii,-70.89843533,8.78,8.78,tropical,NA,0,NA,4.8,13.6,62.9
Diglossa gloriosa,-71.00197472,8.79,8.79,tropical,NA,1.7,NA,11,14.5,20.7
Chlorospingus hypophaeus,-81.70670797,8.8,8.8,tropical,NA,NA,NA,25.6,16.6,17.1
Conirostrum leucogenys,-73.09758384,8.81,8.81,tropical,NA,1.18,NA,7,11.1,22.1
Chlorospingus tacarcunae,-78.50905507,8.82,8.82,tropical,NA,2.28,NA,18.9,13.9,16.3
Cinnyris habessinicus,40.68868405,8.82,8.82,tropical,NA,1.33,NA,9.5,22,16.3
Kleinothraupis reyi,-70.98368675,8.82,8.82,tropical,NA,NA,NA,17.1,14.1,13.5
Ochthoeca superciliosa,-70.64984829,8.86,8.86,tropical,NA,NA,NA,16.6,15.3,19
Piculus callopterus,-78.48609586,8.86,8.86,tropical,NA,4.69,NA,51,22.8,25.2
Saltator orenocensis,-67.52317339,8.86,8.86,tropical,NA,3.6,NA,33.7,18.2,17.8
Atlapetes semirufus,-69.91749851,8.87,8.87,tropical,NA,3.28,NA,30.7,16.1,9.5
Amazilia decora,-83.32460032,8.9,8.9,tropical,NA,0.56,NA,4.7,24.8,61.6
Elvira chionura,-82.66823085,8.92,8.92,tropical,NA,0.43,NA,3,17.7,67.8
Penelope argyrotis,-70.8368649,8.93,8.93,tropical,NA,74.44,NA,806.7,37.3,12.7
Euphonia anneae,-80.29766256,8.96,8.96,tropical,NA,1.64,NA,14.9,11.4,20.2
Grallaria excelsa,-71.25616243,8.97,8.97,tropical,NA,18.9,NA,240.8,36.9,10.1
Malacopteron palawanense,117.8303364,8.97,8.97,tropical,NA,3.5,NA,32.1,21.8,9.2
Ceyx erithaca,102.6735703,8.98,8.98,tropical,NA,2.93,NA,17.8,36.1,13.7
Poicephalus flavifrons,37.65045216,9,9,tropical,NA,9.81,NA,174,30.1,40.2
Crithagra canicapilla,5.907895197,9.05,9.05,tropical,NA,1.69,NA,16,13.1,29.4
Emberiza affinis,13.51257884,9.06,9.06,tropical,NA,1.93,NA,15.4,13.2,14.8
Oenanthe albifrons,9.280979163,9.08,9.08,tropical,NA,2.53,NA,20.6,16.5,11.8
Zosterornis hypogrammicus,117.9594735,9.08,9.08,tropical,NA,1.74,NA,16,17.7,17.6
Chrysothlypis chrysomelas,-81.02640113,9.09,9.09,tropical,NA,1.93,NA,13,15.2,21.2
Cranioleuca subcristata,-69.96229997,9.11,9.11,tropical,NA,2.72,NA,14.7,14.8,16.1
Heterospingus rubrifrons,-80.40242281,9.12,9.12,tropical,NA,3.98,NA,38,21.1,25.2
Aulacorhynchus caeruleogularis,-82.25624546,9.15,9.15,tropical,NA,13.83,NA,170.6,61,12.6
Hypsipetes catarmanensis,124.7199397,9.17,9.17,tropical,NA,NA,NA,58.3,27.5,14.7
Ninox leventisi,124.719887,9.17,9.17,tropical,NA,0,NA,127.9,21.3,27.2
Pauxi pauxi,-70.24176259,9.17,9.17,tropical,NA,190,NA,3117.7,61.6,7.7
Arremon costaricensis,-83.38849256,9.19,9.19,tropical,NA,4.34,NA,42,18.9,9.8
Thlypopsis fulviceps,-69.57540658,9.19,9.19,tropical,NA,1.73,NA,12,12.5,16.2
Psophocichla simensis,38.42960797,9.2,9.2,tropical,NA,NA,NA,74,28.9,31.1
Hylopezus dives,-80.99690422,9.25,9.25,tropical,NA,5.82,NA,44,20.8,7.2
Oenanthe scotocerca,34.69525792,9.25,9.25,tropical,NA,2.11,NA,16,14.8,15.4
Lybius undatus,38.214833,9.28,9.28,tropical,NA,3.54,NA,38.5,19.2,15.3
Merops lafresnayii,37.96060268,9.28,9.28,tropical,NA,NA,NA,22.5,34.4,29.8
Picumnus nigropunctatus,-61.77587794,9.3,9.3,tropical,NA,1.2,NA,11.3,11.6,15.4
Cisticola lugubris,38.44029715,9.31,9.31,tropical,NA,1.41,NA,13.1,15.3,12.5
Passer swainsonii,38.83214978,9.31,9.31,tropical,NA,2.19,NA,31.6,15,20.2
Tachornis furcata,-72.18630932,9.32,9.32,tropical,NA,0.94,NA,6.5,4.5,36.1
Sakesphorus pulchellus,-73.38150835,9.34,9.34,tropical,NA,NA,NA,24.4,22.6,9.4
Arremon crassirostris,-82.54220173,9.36,9.36,tropical,NA,3.75,NA,38.7,15.2,12
Crithagra flavigula,39.99431012,9.36,9.36,tropical,NA,1.65,NA,15.4,10.3,17.9
Cyanolyca argentigula,-83.26658556,9.37,9.37,tropical,NA,8.05,NA,200,28.2,7.7
Megascops clarkii,-82.81004326,9.37,9.37,tropical,NA,15.34,NA,158.5,22.2,27.2
Chlorophonia callophrys,-83.13476135,9.38,9.38,tropical,NA,2.42,NA,25.8,13.3,25.1
Lampornis cinereicauda,-83.41637365,9.38,9.38,tropical,NA,0.67,NA,5.1,23.5,65.1
Zeledonia coronata,-83.12878701,9.38,9.38,tropical,NA,2.36,NA,21,14.2,10.1
Bangsia arcaei,-82.46467538,9.39,9.39,tropical,NA,3.87,NA,37.2,21.7,26.6
Contopus ochraceus,-83.32297332,9.4,9.4,tropical,NA,2.78,NA,23,20,25
Hydrobates cheimomnestes,-109.7533215,9.4,9.4,tropical,NA,NA,NA,36.7,17.8,58.8
Lophotriorchis kienerii,104.2031004,9.42,9.42,tropical,NA,59.24,NA,799,46.1,35.9
Melaenornis chocolatinus,38.18282149,9.42,9.42,tropical,NA,2.76,NA,23.4,14.8,15.1
Chamaepetes unicolor,-83.22021891,9.43,9.43,tropical,NA,94.45,NA,1135,37.8,15
Oenanthe frenata,38.10102271,9.43,9.43,tropical,NA,NA,NA,19.9,22.2,24.2
Puffinus persicus,54.12822475,9.43,9.43,tropical,NA,32,NA,192.8,35.6,57.1
Zosterops poliogastrus,38.77429796,9.44,9.44,tropical,NA,1.085,NA,11,14.5,17.3
Selasphorus flammula,-83.37732304,9.45,9.45,tropical,NA,0.38,NA,2.7,14.5,66.2
Calliphlox bryantae,-83.41056969,9.46,9.46,tropical,NA,0.47,NA,3.3,18.8,67.7
Chlorospingus pileatus,-83.37465792,9.46,9.46,tropical,NA,2.43,NA,21,12.9,14.5
Furnarius longirostris,-73.0632212,9.46,9.46,tropical,NA,6.77,NA,49,25.8,12.8
Pezopetes capitalis,-83.38928044,9.46,9.46,tropical,NA,5.1,NA,55.8,16.6,11.2
Rhynchortyx cinctus,-81.02765591,9.46,9.46,tropical,NA,9.15,NA,150,15.5,36.2
Drymophila klagesi,-68.90443487,9.48,9.48,tropical,NA,1.97,NA,11.9,17.4,9.2
Trogon clathratus,-82.79180417,9.48,9.48,tropical,NA,12.09,NA,130,24,37.1
Chaetocercus jourdanii,-68.32909991,9.49,9.49,tropical,NA,0.45,NA,3.3,14.9,66.4
Dendropicos abyssinicus,38.17025304,9.49,9.49,tropical,NA,2.41,NA,24.5,17.2,24.1
Lampornis hemileucus,-83.02303048,9.49,9.49,tropical,NA,0.72,NA,5.5,22.9,65.1
Ploceus taeniopterus,32.65692335,9.49,9.49,tropical,NA,2.2,NA,17.6,16.9,19.1
Margarornis rubiginosus,-83.4522762,9.5,9.5,tropical,NA,3.11,NA,17.8,13,17.9
Contopus lugubris,-83.39568899,9.51,9.51,tropical,NA,2.52,NA,21.5,21.6,28.2
Pyrrhura caeruleiceps,-73.03620418,9.51,9.51,tropical,NA,NA,NA,62.1,18.7,38.7
Zosterornis nigrorum,123.1166995,9.52,9.52,tropical,NA,2.14,NA,21.6,15.2,16.1
Coracias cyanogaster,1.516244917,9.53,9.53,tropical,NA,12.3,NA,142,39.3,29.7
Crax alberti,-74.24511962,9.54,9.54,tropical,NA,200,NA,3401.9,52.5,10.8
Lepidocolaptes neglectus,-83.5083662,9.54,9.54,tropical,NA,NA,NA,35,31.4,20.8
Zosterops hypolais,138.1245077,9.54,9.54,tropical,NA,1.44,NA,10.6,13.9,17
Zosterops oleagineus,138.1245077,9.54,9.54,tropical,NA,1.34,NA,10.6,17.5,16.4
Ptilocichla falcata,118.4343173,9.55,9.55,tropical,NA,3.41,NA,31.1,23.1,7.5
Acanthidops bairdii,-83.49330848,9.56,9.56,tropical,NA,2.12,NA,16,15.8,17
Petrochelidon preussi,2.378627107,9.57,9.57,tropical,NA,1.63,NA,13.3,9.1,48.2
Glaucidium costaricanum,-83.50439042,9.59,9.59,tropical,NA,9.88,NA,66,13.2,27.7
Pselliophorus tibialis,-83.52532223,9.59,9.59,tropical,NA,3.24,NA,30,16.9,11.7
Oriolus monacha,38.17533398,9.6,9.6,tropical,NA,6.86,NA,68.5,25.4,24.1
Tangara argentea,-70.82201345,9.61,9.61,tropical,NA,NA,NA,21.5,11.9,20.9
Sternoclyta cyanopectus,-69.70853794,9.64,9.64,tropical,NA,0.95,20.4,8,34,62.5
Aulacorhynchus calorhynchus,-71.89278481,9.67,9.67,tropical,NA,NA,NA,170.6,71.7,12.6
Turdoides leucopygia,38.67780813,9.68,9.68,tropical,NA,5.55,NA,82.4,26.2,10.2
Melaniparus leuconotus,38.44016126,9.69,9.69,tropical,NA,1.64,NA,16.7,11.6,14.3
Vidua maryae,9.452301381,9.7,9.7,tropical,NA,1.18,NA,12.8,10.1,24.8
Arachnothera dilutior,118.5548833,9.71,9.71,tropical,NA,1.62,NA,12.5,41.8,14.1
Contopus bogotensis,-73.48520547,9.71,9.71,tropical,NA,NA,NA,11.6,15.9,28.3
Phapitreron frontalis,123.4234979,9.72,9.72,tropical,NA,NA,NA,145,26.6,33.5
Ficedula platenae,118.5591693,9.73,9.73,tropical,NA,1.72,NA,12.1,13.8,13.5
Iole palawanensis,118.5591334,9.73,9.73,tropical,NA,2.84,NA,26.8,19.4,15.8
PolyplectronNApoleonis,118.5590608,9.73,9.73,tropical,NA,21.38,NA,374.7,26,18.7
Myiarchus venezuelensis,-70.21414048,9.76,9.76,tropical,NA,3.31,NA,29.8,21.4,17.5
Turdoides reinwardtii,0.335004021,9.77,9.77,tropical,NA,5.01,NA,78.8,25.6,11
Lampornis calolaemus,-83.49021279,9.78,9.78,tropical,NA,0.67,NA,5.1,23.5,64.6
Dicaeum quadricolor,123.5093504,9.85,9.85,tropical,NA,1.09,NA,8.5,9.7,17.1
Cyornis lemprieri,118.6356567,9.86,9.86,tropical,NA,2.6,NA,21.5,15.7,19
Otus fuliginosus,118.6387801,9.86,9.86,tropical,NA,14.2,NA,92,22.4,22.9
Sholicola albiventris,77.25298415,9.86,9.86,tropical,NA,3.96,NA,38.5,16.7,11.2
Oenanthe dubia,40.92070486,9.89,9.89,tropical,NA,2.22,NA,17.2,16.1,15.5
Anthracoceros marchei,118.6705594,9.92,9.92,tropical,NA,31.68,NA,750,142.6,17.1
Aethopyga shelleyi,118.6746884,9.93,9.93,tropical,NA,0.62,NA,4,16.1,15.6
Dinopium everetti,118.6741838,9.93,9.93,tropical,NA,5.7,NA,72.8,31.4,21.2
Irena tweeddalii,118.6746896,9.93,9.93,tropical,NA,NA,NA,64.9,26.3,25.3
Mirafra sharpii,44.56296691,9.93,9.93,tropical,NA,NA,NA,45,22,18.2
Rhyticeros undulatus,103.9360065,9.93,9.93,tropical,NA,61.6,NA,2214.6,192.9,14.8
Chloropsis palawanensis,118.7040596,9.94,9.94,tropical,NA,3.25,NA,30.3,21.6,13.3
Chrysocolaptes erythrocephalus,118.7040248,9.94,9.94,tropical,NA,8,NA,142,44.9,21.2
Pycnonotus cinereifrons,118.6824136,9.94,9.94,tropical,NA,3.53,NA,34.9,17.4,11.1
Terpsiphone cyanescens,118.7007726,9.94,9.94,tropical,NA,3.06,NA,24.6,23.5,17.3
Vidua nigeriae,7.76678081,9.94,9.94,tropical,NA,1.21,NA,12,9.4,23
Phodilus assimilis,77.97169808,9.95,9.95,tropical,NA,17.2,NA,280.2,32.4,20.4
Picumnus cinnamomeus,-73.56318673,9.95,9.95,tropical,NA,1.47,NA,11.3,12.3,14.8
Prioniturus platenae,118.7123191,9.95,9.95,tropical,NA,8.67,NA,112,23.8,48
Serinus nigriceps,38.75841716,9.95,9.95,tropical,NA,1.75,NA,15.4,11.3,28.2
Prionochilus plateni,118.6975189,9.96,9.96,tropical,NA,1.09,NA,8.5,11.2,15.9
Melozone cabanisi,-84.13883371,9.97,9.97,tropical,NA,3.17,NA,28,14.7,9.7
Alophoixus frater,118.7394171,9.99,9.99,tropical,NA,4.05,NA,35.3,22.7,19.4
Arremon phygas,-63.77724788,10.02,10.02,tropical,NA,4.34,NA,42,18.9,9.8
Montecincla fairbanki,77.23527985,10.02,10.02,tropical,NA,3.94,NA,45.5,22.7,7.1
Arremon schlegeli,-72.05242862,10.07,10.07,tropical,NA,3.02,NA,27.7,16.9,9
Cossypha albicapillus,-0.445988038,10.07,10.07,tropical,NA,4.48,NA,58.5,23.3,16.2
Lagonosticta sanguinodorsalis,11.83393382,10.09,10.09,tropical,NA,1.06,NA,11.4,12.8,8.2
Basileuterus griseiceps,-63.90063335,10.11,10.11,tropical,NA,NA,NA,13,13.5,13.1
Diglossa venezuelensis,-63.88429462,10.11,10.11,tropical,NA,1.78,NA,12.6,14.5,15.8
Sporophila funerea,-81.24356516,10.12,10.12,tropical,NA,NA,NA,13,12.6,15.4
Zimmerius petersi,-68.38771207,10.12,10.12,tropical,NA,1.62,NA,10.9,11.2,16
Phyllomyias urichi,-63.85946124,10.13,10.13,tropical,NA,1.44,NA,9.1,10.7,18.2
Batrachostomus moniliger,77.54754062,10.17,10.17,tropical,NA,6.7,NA,52.4,20.5,22.4
Phapitreron maculipectus,122.9092521,10.17,10.17,tropical,NA,NA,NA,145,27.2,34.3
Metallura iracunda,-72.91223046,10.19,10.19,tropical,NA,0.51,NA,3.9,14.4,64.1
Premnoplex tatei,-63.72282385,10.19,10.19,tropical,NA,3.15,NA,19,18.2,11.9
Atlapetes nigrifrons,-72.88584139,10.2,10.2,tropical,NA,NA,NA,23.6,15.6,12.7
Aglaiocercus berlepschi,-63.7419295,10.22,10.22,tropical,NA,0.62,NA,5,18.4,65.3
Lepidopyga lilliae,-75.02422774,10.23,10.23,tropical,NA,0.52,NA,4.3,21.2,64.1
Aplonis opaca,146.0399244,10.24,10.24,tropical,NA,6.9,NA,83.4,27.5,23.8
Arremon phaeopleurus,-67.38376194,10.24,10.24,tropical,NA,4.34,NA,42,18.9,9.8
Crithagra tristriata,38.95301038,10.24,10.24,tropical,NA,1.78,NA,15.5,12.9,15.8
Pogonotriccus venezuelanus,-67.4306722,10.24,10.24,tropical,NA,1.48,NA,9,14.9,14.2
Aulacorhynchus sulcatus,-66.52769685,10.25,10.25,tropical,NA,13.52,NA,167,72.3,13.9
Grallaricula cumanensis,-63.58807975,10.25,10.25,tropical,NA,3.33,NA,19.8,16.7,17.9
Syndactyla guttulata,-66.1861648,10.25,10.25,tropical,NA,5.07,NA,36,21.5,16.9
Pyrrhura hoematotis,-67.70479179,10.26,10.26,tropical,NA,5.09,NA,68.7,18.2,42.1
Grallaria saltuensis,-72.8750738,10.3,10.3,tropical,NA,NA,NA,35.7,23.9,7.8
Ninox rumseyi,123.7182341,10.31,10.31,tropical,NA,0,NA,127.9,21.3,27.2
Rhynchostruthus louisae,46.46333452,10.31,10.31,tropical,NA,2.74,NA,28.3,15.4,29.9
Tangara rufigenis,-68.17870569,10.31,10.31,tropical,NA,2.17,NA,16.5,13.7,24.6
Laterallus levraudi,-68.75882149,10.32,10.32,tropical,NA,7.28,NA,43.5,19.1,16.2
Pipreola formosa,-65.89132483,10.32,10.32,tropical,NA,5.27,NA,47.2,15.3,20.9
Grallaricula loricata,-68.21932998,10.33,10.33,tropical,NA,3.5,NA,20.7,15.8,17
Phylloscartes flaviventris,-67.1684762,10.33,10.33,tropical,NA,1.37,NA,8,10.8,20.2
Pterodroma longirostris,-58.19746332,10.33,10.33,tropical,NA,29.56,NA,143,23.4,61.1
Pyrrhura emma,-66.30548123,10.33,10.33,tropical,NA,5.25,NA,70.8,17,40.1
Scytalopus perijanus,-72.86960246,10.34,10.34,tropical,NA,NA,NA,18.5,14.8,9.6
Hypsipetes siquijorensis,123.6324028,10.35,10.35,tropical,NA,4.75,NA,50.9,28.8,19.1
Procnias tricarunculatus,-83.78899766,10.37,10.37,tropical,NA,16.5,NA,210,27.8,23.1
Ptilopsis leucotis,18.90196697,10.37,10.37,tropical,NA,18.7,NA,204,24.6,27.4
Coeligena consita,-72.82041198,10.38,10.38,tropical,NA,NA,NA,6.5,37.8,62.6
Arremon perijanus,-72.74025862,10.39,10.39,tropical,NA,4.34,NA,42,18.9,9.8
Synallaxis castanea,-66.97315164,10.41,10.41,tropical,NA,3.13,NA,15,15.7,11.3
Psarocolius oleagineus,-67.14920984,10.44,10.44,tropical,NA,NA,NA,271.5,53.1,24.8
Ptilinopus arcanus,123.1459063,10.44,10.44,tropical,NA,6.67,NA,118.5,13.9,25.3
Cisticola rufus,5.213950562,10.45,10.45,tropical,NA,1.13,NA,7.3,11.3,16.8
Momotus bahamensis,-61.25749102,10.47,10.47,tropical,NA,12.05,NA,115,41.2,16.7
Coracias abyssinicus,16.88877322,10.49,10.49,tropical,NA,11.5,NA,102,35.8,30.2
Aphanotriccus capitalis,-84.29408456,10.5,10.5,tropical,NA,1.78,NA,11.8,15.6,17.3
Bubo cinerascens,18.0468668,10.5,10.5,tropical,NA,47.4,NA,500,37,32.9
Pharomachrus fulgidus,-68.07531345,10.5,10.5,tropical,NA,13.44,NA,160,22.4,39.8
Hirundapus celebensis,122.9167433,10.51,10.51,tropical,NA,10.66,NA,180,15.6,70.9
Chloropsis moluccensis,103.6898509,10.52,10.52,tropical,NA,NA,NA,24.5,19.3,15.1
Crithagra ankoberensis,39.06170633,10.53,10.53,tropical,NA,1.62,NA,14.9,10.1,25.5
Thamnophilus melanonotus,-72.09549266,10.53,10.53,tropical,NA,3.67,NA,25.5,21,8.7
Ceyx nigrirostris,122.8899146,10.54,10.54,tropical,NA,NA,NA,21.5,37.6,20.7
Aethopyga guimarasensis,122.7360717,10.58,10.58,tropical,NA,0.97,NA,6.7,19.2,13.7
Dasycrotapha speciosa,122.7379769,10.58,10.58,tropical,NA,1.78,NA,16.4,15.5,14.9
Edolisoma ostentum,122.7379753,10.58,10.58,tropical,NA,7.1,NA,68,29.7,24.6
Gallicolumba keayi,122.7389458,10.58,10.58,tropical,NA,9.42,NA,190.5,21.9,32.8
Otus nigrorum,122.7389237,10.58,10.58,tropical,NA,17.59,NA,178.4,21,23.9
Rhabdornis rabori,122.7374786,10.58,10.58,tropical,NA,NA,NA,39.1,19.4,28.9
Vauriella albigularis,122.7379763,10.58,10.58,tropical,NA,2.93,NA,35.7,17.4,14.7
Forpus spengeli,-74.37565484,10.59,10.59,tropical,NA,0,NA,31,15.8,41.9
Patagioenas corensis,-69.53376064,10.6,10.6,tropical,NA,12.64,NA,272.3,19.8,34.8
Chalcoparia singalensis,103.6472769,10.61,10.61,tropical,NA,1.13,NA,8.2,15,12.8
Myrmecocichla melaena,38.14317436,10.61,10.61,tropical,NA,3.99,NA,38.9,17.4,13.9
Odontophorus atrifrons,-73.40226473,10.64,10.64,tropical,NA,17.53,NA,304,18.8,9.9
Pternistis harwoodi,38.56469776,10.67,10.67,tropical,NA,23.93,NA,493,28,10.9
Calandrella blanfordi,38.63605841,10.68,10.68,tropical,NA,2.665,NA,23.7,13,26.9
Hylonympha macrocerca,-62.32100814,10.68,10.68,tropical,NA,1.39,NA,7.3,27.3,67.4
Myioborus pariae,-62.31839242,10.68,10.68,tropical,NA,2.39,NA,18,12,17.1
Premnoplex pariae,-62.32212894,10.68,10.68,tropical,NA,NA,NA,19,18.2,11.9
Aethopyga magnifica,122.838738,10.7,10.7,tropical,NA,0.9,NA,6.7,19,17.4
Rallus wetmorei,-68.10755057,10.7,10.7,tropical,NA,15.36,NA,160.8,52.5,17.6
Cranioleuca hellmayri,-73.58939305,10.71,10.71,tropical,NA,2.77,NA,15,16.2,18.7
Amazilia alfaroana,-85.12760612,10.73,10.73,tropical,NA,NA,NA,5,20.3,63.5
Arremon basilicus,-73.58360072,10.73,10.73,tropical,NA,4.34,NA,42,18.9,9.8
Chaetocercus astreans,-73.64076197,10.77,10.77,tropical,NA,0.44,NA,3.2,15.7,65.4
Coeligena phalerata,-73.65462012,10.77,10.77,tropical,NA,0.75,NA,6.1,33.4,62.7
Phapitreron nigrorum,122.939604,10.78,10.78,tropical,NA,NA,NA,108,18.6,33.4
Anisognathus melanogenys,-73.6832521,10.79,10.79,tropical,NA,3.92,NA,41,18.7,17.5
Atlapetes melanocephalus,-73.73149651,10.79,10.79,tropical,NA,2.8,NA,25,15.9,14.6
Chrysocolaptes xanthocephalus,122.8456056,10.79,10.79,tropical,NA,8,NA,142,39.8,21.6
Coracina panayensis,122.8456684,10.79,10.79,tropical,NA,NA,NA,111,30.8,30.6
Gracula indica,77.20378035,10.79,10.79,tropical,NA,12.5,NA,192,29.8,24.2
Rhipidura albiventris,122.8457362,10.79,10.79,tropical,NA,1.91,NA,13.6,14.6,18.4
Dubusia carrikeri,-73.58397051,10.8,10.8,tropical,NA,NA,NA,37,22.7,13.6
Campylopterus phainopeplus,-73.63850587,10.82,10.82,tropical,NA,0.9,NA,7.7,28.5,61.4
Henicorhina anachoreta,-73.63935714,10.82,10.82,tropical,NA,NA,NA,16.2,14.7,7.3
Laniocera rufescens,-82.42486803,10.82,10.82,tropical,NA,5.2,NA,48.1,20.4,21.6
Oxypogon cyanolaemus,-73.60162285,10.83,10.83,tropical,NA,0,NA,4.8,14.9,63.3
Troglodytes monticola,-73.64901078,10.83,10.83,tropical,NA,1.58,NA,9,14.4,10.7
Grallaria bangsi,-73.65009535,10.85,10.85,tropical,NA,7.38,NA,62,24.6,8.5
Onychognathus neumanni,9.114910932,10.85,10.85,tropical,NA,9.4,NA,39.8,31.6,25.8
Synallaxis fuscorufa,-73.65009535,10.85,10.85,tropical,NA,2.89,NA,16,15.2,22.9
Kittacincla superciliaris,122.8645636,10.86,10.86,tropical,NA,NA,NA,24,17,11.5
Ficedula nigrorufa,76.64660888,10.87,10.87,tropical,NA,1.7,NA,9.4,11.6,15.4
Ramphomicron dorsale,-73.72709489,10.91,10.91,tropical,NA,0.47,NA,3.5,12.7,64.2
Rhytipterna holerythra,-83.10324543,10.92,10.92,tropical,NA,3.81,NA,36.8,21.4,16.9
Myiotheretes pernix,-73.8322355,10.93,10.93,tropical,NA,4.55,NA,33,24.8,19.8
Drymophila hellmayri,-73.76744576,10.94,10.94,tropical,NA,1.97,NA,11.9,17.4,9.2
Megascops gilesi,-73.6866387,10.95,10.95,tropical,NA,NA,NA,132,21.8,21
Phodilus badius,104.5086532,10.95,10.95,tropical,NA,17.2,NA,280.2,35.2,20.2
Anthocephala floriceps,-73.48009871,10.96,10.96,tropical,NA,0.55,NA,3.9,17.7,66.1
Cardinalis phoeniceus,-69.58033879,10.96,10.96,tropical,NA,3.95,NA,35,19,15.4
Arremonops tocuyensis,-70.64611586,10.98,10.98,tropical,NA,3.16,NA,29.4,15.1,6.8
Pyrrhura viridicata,-73.76372429,11.01,11.01,tropical,NA,5.47,NA,87.5,21.8,37.2
Sternula saundersi,61.45973943,11.03,11.03,tropical,NA,10,NA,42.5,31.1,71.7
Arachnothera clarae,123.5775174,11.05,11.05,tropical,NA,3.25,NA,30.1,41.3,12.7
Alcippe peracensis,105.6283858,11.06,11.06,tropical,NA,2.1,NA,14.3,14,12.6
Todirostrum viridanum,-70.37976249,11.09,11.09,tropical,NA,1.25,NA,6.5,16.8,11.9
Psarocolius wagleri,-83.50444174,11.12,11.12,tropical,NA,8.45,NA,155.5,57.9,28.5
Inezia tenuirostris,-71.21806241,11.14,11.14,tropical,NA,1,NA,5,10,12.8
Zimmerius parvus,-82.9682437,11.18,11.18,tropical,NA,1.62,NA,9.7,10.1,15.1
Caprimulgus andamanicus,92.96884064,11.2,11.2,tropical,NA,7.7,NA,66.2,19.6,46
Atlapetes albinucha,-85.17823362,11.21,11.21,tropical,NA,3.49,NA,33.8,17.2,9.5
Treron chloropterus,92.97391581,11.21,11.21,tropical,NA,6.9,NA,234,23.7,36
Zosterornis latistriatus,122.2242609,11.21,11.21,tropical,NA,2.56,NA,29.5,21,12.5
Columba palumboides,92.96430281,11.22,11.22,tropical,NA,20.76,NA,520,32.4,34.7
Macropygia rufipennis,92.96325843,11.22,11.22,tropical,NA,9.6,NA,256,21.1,37.7
Gymnoris dentata,11.52972876,11.24,11.24,tropical,NA,1.75,NA,18.4,13.5,25.7
Hylophilus insularis,-60.66823464,11.24,11.24,tropical,NA,NA,NA,11.7,14.3,11.4
Sarcophanops samarensis,124.8451816,11.26,11.26,tropical,NA,3.68,NA,27.1,31.6,20.7
Ceyx flumenicola,124.8456971,11.27,11.27,tropical,NA,0,NA,17.8,36.9,24.4
Rhipidura samarensis,124.8459936,11.27,11.27,tropical,NA,1.85,NA,13.1,13.2,19.6
Orthotomus samarensis,124.9234933,11.28,11.28,tropical,NA,1.14,NA,8.9,16.5,7.4
Cantorchilus zeledoni,-84.00299262,11.29,11.29,tropical,NA,NA,NA,17.6,18,8.8
Montecincla cachinnans,76.61082415,11.31,11.31,tropical,NA,3.9,NA,38.6,22.2,7.8
Dasycrotapha pygmaea,125.0659357,11.42,11.42,tropical,NA,1.2,NA,8.7,11.1,10.2
Aerodramus unicolor,77.08049684,11.43,11.43,tropical,NA,2.28,NA,11,6.6,68
Eumyias albicaudatus,76.35158508,11.46,11.46,tropical,NA,2.12,NA,16.4,12.9,14.8
Acritillas indica,77.74019115,11.48,11.48,tropical,NA,3.13,NA,30.6,20.1,15.7
Megapodius laperouse,139.7032106,11.48,11.48,tropical,NA,73.85,NA,308,22.3,31.4
Cacicus microrhynchus,-83.34659913,11.54,11.54,tropical,NA,4.63,NA,63.7,29,20.3
Micromacronus leytensis,124.9557005,11.55,11.55,tropical,NA,0.87,NA,5.5,9.1,15.4
Harpactes ardens,123.3973705,11.6,11.6,tropical,NA,10.43,NA,96.3,22.9,35.7
Montecincla jerdoni,76.0328182,11.6,11.6,tropical,NA,NA,NA,43.8,21.2,5.8
